region,iso3,survey_year,variable.x,denominator.x,numerator.x,birth.registration,variable.y,denominator.y,numerator.y,U5M,variable,denominator,numerator,education
JINJA,UGA,2016,registration,215.125538,19.634481,0.0912698751740019,mortality,524.709655,33.085188,0.0630542771316072,education,521.803697,93.95215,0.180052672183348
Jajarkot,NPL,2017,registration,45.66004,19.498116,0.427028009611906,mortality,126.1086015,14.673251,0.116354085490354,education,154.580903,34.907524,0.225820417157222
Jamalpur,BGD,2014,registration,141.2303,22.304594,0.157930656523423,mortality,428.447498,28.02827,0.0654182137387578,education,923.88898,72.64369,0.0786281594136993
Jessore,BGD,2014,registration,132.945221,34.417095,0.258881776577738,mortality,325.4770585,16.219944,0.0498343695090264,education,817.785442,147.336687,0.180165455916737
Jhalokati,BGD,2014,registration,28.114935,7.884126,0.280424834700845,mortality,71.473503,6.162675,0.0862232119782908,education,148.471083,42.09909,0.283550770623799
Jhapa,NPL,2017,registration,129.94428,77.873285,0.599282130771743,mortality,305.8123,7.0324485,0.0229959635371108,education,689.478532,161.158594,0.233739828755103
Jhenaidah,BGD,2014,registration,66.078473,11.388351,0.172345856115652,mortality,193.362597,8.3498755,0.0431824749436935,education,458.096909,44.97454,0.0981769121694729
Joypurhat,BGD,2014,registration,38.56187,6.148534,0.159445950105635,mortality,88.6697555,0.919209,0.0103666576592737,education,289.179262,38.358458,0.132645950247982
Jumla,NPL,2017,registration,38.752018,36.439833,0.940333816938256,mortality,76.850003,5.236135,0.0681344800988492,education,115.367901,16.599277,0.143881243015767
KAABONG,UGA,2016,registration,63.075038,28.683909,0.454758489404319,mortality,155.0676315,14.463167,0.0932700581036475,education,143.347376,1.192136,0.0083164131305759
KABALE,UGA,2016,registration,226.512573,136.994306,0.604797800782564,mortality,496.472579,32.1712735,0.0647996986355212,education,643.006786,78.328326,0.12181570662304
KABAROLE,UGA,2016,registration,254.962724,130.766112,0.512883255828409,mortality,564.466479,32.544921,0.0576560738516414,education,604.530102,39.631854,0.0655581150862195
KABERAMAIDO,UGA,2016,registration,100.116207,56.428401,0.563629033608914,mortality,206.8081545,9.488891,0.0458825766466573,education,209.20117,11.476002,0.0548562993218441
KALANGALA,UGA,2016,registration,30.522422,8.266709,0.270840531593463,mortality,72.660422,6.6062815,0.0909199440102343,education,77.377977,6.398364,0.0826897296630022
KALIRO,UGA,2016,registration,70.873332,3.6612,0.0516583586051803,mortality,143.4588215,14.960765,0.104286127848889,education,100.230531,2.418267,0.0241270496711227
KALUNGU,UGA,2016,registration,64.168091,31.637955,0.493048094573984,mortality,100.8756435,4.2713735,0.0423429616089636,education,124.322211,11.094287,0.0892381732174953
KAMPALA,UGA,2016,registration,547.062449,188.210442,0.344038312891039,mortality,1211.8979215,69.60727,0.0574365784156517,education,1777.309399,663.866508,0.373523320347894
KAMULI,UGA,2016,registration,260.964245,140.727149,0.539258353189342,mortality,553.951616,34.2008345,0.0617397503900413,education,559.301983,58.608084,0.104787906679029
KAMWENGE,UGA,2016,registration,122.115284,41.429532,0.339265738431235,mortality,264.1327135,34.2143055,0.129534524696427,education,260.406004,19.227792,0.0738377445398686
KANUNGU,UGA,2016,registration,82.076915,53.207852,0.648268176258818,mortality,184.3009315,10.5435705,0.0572084493235456,education,271.335023,28.977535,0.106796146990579
KAPCHORWA,UGA,2016,registration,65.579178,22.864306,0.348651915094148,mortality,136.7136815,4.2743595,0.0312650457006382,education,165.772538,17.467116,0.105367971141276
KASESE,UGA,2016,registration,411.361903,162.632473,0.395351324014076,mortality,855.2712185,55.055594,0.0643720878349655,education,802.712315,66.418751,0.0827429077128336
